epoch,train_loss,val_loss,val_mae,lr
0,442438.59375,189099.21875,302.8085693359375,0.001
1,441893.90625,187786.578125,299.4644775390625,0.001
2,441649.0,187095.875,298.0246337890625,0.001
3,441245.6875,186626.65625,297.18125,0.001
4,440740.09375,186246.546875,296.5998046875,0.001
5,440536.75,185952.1875,296.286572265625,0.001
6,440337.3125,185703.9375,296.0331787109375,0.001
7,440062.9375,185481.21875,295.8463623046875,0.001
8,439766.15625,185273.265625,295.663525390625,0.001
9,439585.25,185084.96875,295.5244384765625,0.001
